 Title Location eBaySite StartDateTime EndDateTime Category ListingType ItemCondition ListingSold ShippingLocations ShippingCost EndingPrice Currency
57 "Nintendo NES Game Teenage Mutant Ninja Turtles " Brunswick,VIC,Australia EBAY-AU 2016-02-06T08:14:41.000Z 2016-02-06T12:52:40.000Z Games FixedPrice 5000 EndedWithSales AU 0.0 59.99 AUD
58 "Teenage Mutant Ninja Turtles (Nintendo Entertainment System)" Toowoomba,QLD,Australia EBAY-AU 2016-01-30T08:54:30.000Z 2016-02-06T08:54:30.000Z Games Auction 4000 EndedWithSales AU 8.25 26.0 AUD
59 "Nintendo NES Teenage Mutant Ninja Turtles TMNT PAL " Gladstone,QLD,Australia EBAY-AU 2016-01-30T06:08:49.000Z 2016-02-02T23:01:25.000Z Games FixedPrice 5000 EndedWithSales AU 8.25 20.0 AUD
60 "Original Nintendo NES - TMNT, Teenage Mutant Ninja Turtles - Used Condition. " Bradbury,NSW,Australia EBAY-AU 2016-01-25T01:09:42.000Z 2016-02-01T01:09:42.000Z Games Auction 5000 EndedWithSales AU 6.95 15.5 AUD
61 "NES Game - Teenage Mutant Ninja Turtles (PAL A, Boxed w/Manual)" Australia EBAY-AU 2016-01-24T10:30:41.000Z 2016-01-31T10:30:41.000Z Games Auction 4000 EndedWithSales AU 8.0 61.26 AUD
62 "Teenage Mutant Ninja Turtles NES" "Acacia Ridge,QLD,Australia" EBAY-AU 2016-01-17T11:25:58.000Z 2016-01-29T03:29:19.000Z Games StoreInventory 4000 EndedWithSales AU 0.0 23.7 AUD
63 "Teenage Mutant Ninja Turtles Tmnt Nes Game" Gympie,QLD,Australia EBAY-AU 2016-01-21T06:54:06.000Z 2016-01-26T10:46:07.000Z Games StoreInventory 6000 EndedWithSales AU 9.99 14.99 AUD
64 "Nintendo NES Teenage Mutant Ninja Turtles TMNT PAL " Seaford,VIC,Australia EBAY-AU 2016-01-21T07:12:35.000Z 2016-01-26T07:12:35.000Z Games Auction 5000 EndedWithSales AU 8.25 20.5 AUD
0 "Teenage Mutant Ninja Turtles with original sleeve (NES - PAL B / SCN)" Denmark EBAY-GB 2016-04-14T20:26:04.000Z 2016-04-21T20:26:04.000Z Games Auction 4000 EndedWithSales EuropeanUnion 2.0 12.5 GBP
1 "TEENAGE MUTANT NINJA TURTLES NES Nintendo Controller Control Pad Overlay Sticker" "Oxford,United Kingdom" EBAY-GB 2016-04-20T13:36:46.000Z 2016-04-21T05:49:31.000Z Controllers FixedPrice 1000 EndedWithoutSales Worldwide 0.0 3.5 GBP
2 "TEENAGE MUTANT NINJA TURTLES - Nintendo NES - UK PAL A - Cart - VG COND" "United Kingdom" EBAY-GB 2016-03-22T01:39:02.000Z 2016-04-21T01:39:02.000Z Games StoreInventory 4000 EndedWithoutSales Worldwide 2.0 19.99 GBP
3 "TEENAGE MUTANT NINJA TURTLES - Nintendo NES - UK PAL A - Cart - VG COND" "United Kingdom" EBAY-GB 2016-03-22T01:38:33.000Z 2016-04-21T01:38:33.000Z Games StoreInventory 4000 EndedWithoutSales Worldwide 2.0 19.99 GBP
4 "Ninja Turtles Nes FRIDGE MAGNET (2 x 3 inches) video game box teenage mutant" USA EBAY-US 2016-04-10T23:45:48.000Z 2016-04-18T16:22:38.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
5 "TEENAGE MUTANT NINJA TURTLES NES Nintendo Controller Control Pad Overlay Sticker" "Oxford,United Kingdom" EBAY-GB 2016-03-19T16:15:34.000Z 2016-04-18T16:15:34.000Z Controllers FixedPrice 1000 EndedWithoutSales Worldwide 0.0 3.5 GBP
6 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-04-13T02:26:29.000Z 2016-04-18T02:26:29.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 6.31 GBP
7 "Teenage Mutant Ninja Turtles - NES" "Paignton,United Kingdom" EBAY-GB 2016-04-10T16:57:08.000Z 2016-04-17T16:57:08.000Z Games Auction 4000 EndedWithSales Worldwide 0.0 10.5 GBP
8 "Teenage Mutant Ninja Turtles: Tournament Fighters nes famicom famiclone dendy" "Runcorn,United Kingdom" EBAY-GB 2016-04-16T14:25:11.000Z 2016-04-17T07:36:09.000Z Games FixedPrice 5000 EndedWithSales GB 0.0 12.0 GBP
9 "Teenage Mutant Hero Ninja Turtles Game For Nintendo Nes PAL Boxed Complete" "Bath,United Kingdom" EBAY-GB 2016-04-16T06:35:36.000Z 2016-04-16T17:04:57.000Z Games StoreInventory 6000 EndedWithSales Europe 0.0 16.75 GBP
10 "Turtles 2 The Arcade Game for NES Nintendo PAL A TMNT Teenage Mutant Ninja Hero" "Alton,United Kingdom" EBAY-GB 2016-03-22T23:02:22.000Z 2016-04-16T09:22:24.000Z Games FixedPrice 4000 EndedWithSales GB 3.0 39.99 GBP
11 "Teenage Mutant Ninja Turtles NES (PAL)" "Ipswich,United Kingdom" EBAY-GB 2016-04-07T18:35:44.000Z 2016-04-14T18:35:44.000Z Games Auction 5000 EndedWithSales GB 1.26 10.0 GBP
12 "NES Teenage Mutant Hero (Ninja) Turtles - Boxed and with instructions " "Braintree,United Kingdom" EBAY-GB 2016-04-04T03:09:43.000Z 2016-04-13T17:00:21.000Z Games Auction 5000 EndedWithSales GB 1.26 15.34 GBP
13 "Nintendo NES Console Bundle | Teenage Mutant Ninja Turtles | Fully Working" "United Kingdom" EBAY-GB 2016-04-04T19:20:49.000Z 2016-04-13T10:25:49.000Z Consoles StoreInventory 3000 EndedWithoutSales EuropeanUnion 0.0 74.75 GBP
14 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-04-08T03:09:35.000Z 2016-04-13T03:09:35.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 6.97 GBP
15 "Teenage Mutant Ninja Turtles 2 Famicom/NES JP GAME" Japan EBAY-US 2016-04-08T02:02:45.000Z 2016-04-13T02:02:45.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 7.01 GBP
16 "Teenage Mutant Hero Turtles  - Nintendo NES game - ninja" "Walkerburn,United Kingdom" EBAY-GB 2016-04-11T11:35:56.000Z 2016-04-12T22:28:24.000Z Games FixedPrice 5000 EndedWithSales GB 0.0 8.95 GBP
17 "Teenage Mutant Ninja Turtles NES PAL" "Thatcham,United Kingdom" EBAY-GB 2016-04-11T21:35:28.000Z 2016-04-12T21:35:28.000Z Games Auction 5000 EndedWithSales GB 1.5 6.59 GBP
18 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-04-07T02:57:52.000Z 2016-04-12T02:57:52.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 9.41 GBP
19 "Teenage Mutant Ninja Turtles Famicom/NES JP GAME." Japan EBAY-US 2016-04-07T01:39:57.000Z 2016-04-12T01:39:57.000Z "Video Gaming Merchandise" Auction 3000 EndedWithSales Worldwide 9.76 2.68 GBP
20 "Teenage Mutant Ninja Turtles 2 + Instructions + Case  - Nintendo Nes  - US " "Bishop's Stortford,United Kingdom" EBAY-GB 2016-04-01T09:46:18.000Z 2016-04-11T09:46:18.000Z Games FixedPrice 5000 EndedWithoutSales Worldwide 0.0 18.99 GBP
