Title,Company,Rarity,Price ($)
NARC,Acclaim,C,3
NES Open Golf,Nintendo,B-,4
NFL Football,LJN,C,3
Nigel Mansell GT,Gametek,B+,4
Nightmare on Elm Street,LJN,B-,5
Nightshade,Ultra,B-,3
Ninja Crusaders,American Sammy,B,3
Ninja Gaiden,Tecmo,E,4
Ninja Gaiden 2,Tecmo,C-,5
Ninja Gaiden 3,Tecmo,C+,13
Ninja Kid,Bandai,C+,3
Nobunaga's Ambition,Koei,B,10
Nobunaga's Ambition 2,Koei,B+,19
North and South,Kemco,B+,8
ORB-3D,Hi Tech,C,2
Operation Secret Storm,Color Dreams,A,10
Operation Wolf (Gun Optional),Taito,D,3
Othello,Acclaim,C,2
Overlord,Virgin,B,4
P'radikus Conflict,Color Dreams,B,10
P.O.W.,SNK,C+,5
Pac Man,Namco,B+,10
Pac Man (licensed),Tengen,B-,5
Pac Man (unlicensed),Tengen,B-,6
Pac Mania,Tengen,B+,9
Palamedes,Hot B,B+,3
Panic Resturant,Taito,B+,14
Paperboy,Mindscape,C,8
Paperboy 2,Mindscape,B,6
Peek A Boo Poker,Panesian,A+,265+ ?
Pesterminator,Color Dreams,A-,15
Peter Pan and the Pirates,T*HQ,B-,4
Phantom Fighter,FCI,C+,3
Pictionary,LJN,B-,4
Pinball,Nintendo,D,4
Pinball Quest,Jaleco,B-,4
Pinbot,Nintendo,B-,4
Pipe Dream,Bullet Proof,B,4
Pirates!,Ultra,B,16
Platoon,Sunsoft,D,3
Play Action Football,Nintendo,D,2
Pool of Radiance,FCI,B+,10
Popeye,Nintendo,B-,5
Power Blade,Taito,B,5
Power Blade 2,Taito,B,5
Power Punch 2,American Softworks,B,4
Predator,Activision,C+,3
Prince of Persia,Virgin,B-,3
Princess Tomato,Hudson,B+,23
Pro Sport Hockey,Jaleco,A-,5
Pro Wrestling,Nintendo,D,3
Pugsley's Scavenger Hunt,Ocean,B+,7
Punch Out,Nintendo,C+,6
"Punisher, The",LJN,B-,3
